,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 50777,0.012403141230244448,3.0298060993975904,0.2198294963505516,1.0,151.14484356894556,9.05082193331624e-28,
Cluster 50781,0.002821070585578074,0.12770453689759043,0.7208240276685912,1.0,167.6592901878915,5.089129959862431e-30,
Cluster 50789,0.02527997326267698,4.724963475951049,0.09418618747053199,1.0,143.9093997734994,9.361096322452952e-27,
Cluster 50792,0.0030889856389607617,0.8337709184296072,0.6590964090409597,1.0,36.30078777751255,5.657850205947194e-09,
Cluster 50799,0.024054473386963746,5.888603803644329,0.05263879403893707,1.0,99.00000000000001,5.1600722464930045e-20,
Cluster 50803,0.010273113328865352,2.7391617753063535,0.25421348123767995,1.0,6.19924712046449e-32,1.0,
Cluster 50805,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 50806,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 50807,0.01844315778819102,4.65884578313253,0.09735191349123792,1.0,40.72629144178875,7.822453009920867e-10,
Cluster 50815,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 50823,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50825,0.002154714187208265,0.2282092976367947,0.6328547978256489,1.0,93.92224763149298,3.3757702232792883e-19,
Cluster 50826,0.013743071667821946,3.5090394848251805,0.1729903022502363,1.0,19.638161961673195,1.3728856088950358e-05,
Cluster 50829,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50837,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50839,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50845,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50847,0.008509599677509833,1.9536099087940553,0.3765121526165792,1.0,56.877164056059385,7.484231180154382e-13,
Cluster 50848,9.95689872207578e-05,0.0,1.0,1.0,130.74869888475843,7.325153015004718e-25,
Cluster 50854,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50855,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50858,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50861,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50865,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50872,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50890,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50891,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50896,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50897,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50899,0.007403192542148183,0.06609939759036146,0.7971030974390365,1.0,207.2788416627744,4.426525119578719e-35,
Cluster 50910,0.0035623165461911577,0.0,1.0,1.0,74.01494628678189,7.03189628396912e-16,
Cluster 50913,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50915,0.004014285917680174,0.3408250188253011,0.5593533921224787,1.0,167.6592901878915,5.089129959862431e-30,
Cluster 50925,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50943,0.0011105110914937516,1.5527225179788785e-05,0.9968559759228413,1.0,176.55636519502784,3.3915687400177745e-31,
Cluster 50946,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50948,0.011327862815349754,2.422701336725738,0.11958854909729023,1.0,8.928135274776889,0.0030724827133847606,
Cluster 50957,0.007269459867073724,1.616845761424075,0.4455602139994498,1.0,68.4134753815145,6.577294655981157e-15,
Cluster 50959,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50984,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 50989,0.007403192542148183,0.06609939759036146,0.7971030974390365,1.0,74.01494628678189,7.03189628396912e-16,
Cluster 50990,0.0035623165461911577,0.0,1.0,1.0,207.2788416627744,4.426525119578719e-35,
Cluster 50992,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 51000,0.0035623165461911577,0.0,1.0,1.0,207.27884166277448,4.4265251195786036e-35,
Cluster 51006,0.0,0.0,1.0,1.0,79.51807228915663,8.120428146989222e-17,
Cluster 51008,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 51016,0.0,0.0,1.0,1.0,219.1200000000001,1.647874003331482e-36,
Cluster 51021,0.003564271111175632,0.6074941702293042,0.7380475060480036,1.0,124.58873538788524,5.934030183477138e-24,
Cluster 51023,0.001000322889866817,0.011127844712182085,0.915988115467339,1.0,151.51669316375194,8.035822668908302e-28,
Cluster 51024,0.007378879106899841,0.8230153949129855,0.3643000078349409,1.0,151.51669316375194,8.035822668908302e-28,
Cluster 51027,0.02450606683797131,4.655166917670682,0.03096022223137029,1.0,78.03875730544445,1.445527404617113e-16,
