,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 9944,0.012524701495706336,11.872215346479583,0.0005697759720061414,0.00683260576341545,4.014309919643008,0.04538617255386441,
Cluster 9945,0.0,0.0,1.0,1.0,652.4722222222224,4.2637969836042124e-111,
Cluster 9946,0.01878330194684104,16.697254213662475,4.3844411091429055e-05,0.000773423606869835,85.45990595223364,1.3958972753907598e-19,
Cluster 9947,0.013016483918743077,11.554117523864015,0.0006759938531964579,0.007885898627369062,225.34309059178165,4.526697451533306e-46,
Cluster 9948,0.02680849054112662,23.036637138373095,1.5894340108418416e-06,4.3228482643573145e-05,112.40125391849526,5.887494139376594e-25,
Cluster 9949,0.0014378353653757628,0.8570225236827438,0.35457326073195405,0.9335107381908628,284.48830097227443,2.443097847071636e-56,
Cluster 9951,0.0006699253426211086,0.0554101787602746,0.8139032005116099,1.0,360.8304906094291,6.676118696202432e-69,
Cluster 9952,3.6606028143098754e-05,0.0,1.0,1.0,367.122887221918,6.623783378414017e-70,
Cluster 9954,0.001138127040566395,0.0,1.0,1.0,373.5444455262389,6.337281407461953e-71,
Cluster 9961,0.005769769167013331,5.055134470382213,0.07985304786319801,0.38597343877538093,160.36282048285696,3.4778708937064087e-34,
Cluster 9967,0.0018848936006963038,1.14442363578997,0.2847195277988838,0.8635836553437141,314.7324651106835,2.100253229803787e-61,
Cluster 9974,0.00012518969333383777,0.0,1.0,1.0,623.533921042545,2.9253665029423125e-107,
Cluster 9976,0.0034286943418517617,3.0769853159474345,0.21470449073871925,0.7361575409070529,237.59927874983305,3.069062814292771e-48,
Cluster 9981,0.0001107174033738445,0.0,1.0,1.0,342.69263177605086,5.538721191106083e-66,
Cluster 9983,0.0020136865349188356,1.6392271285661906,0.44060188591778604,1.0,285.1662037964897,1.8753089584216725e-56,
Cluster 9984,3.6606028143098754e-05,0.0,1.0,1.0,632.9895689127844,1.6036724544343904e-108,
Cluster 9987,0.004156921440773828,2.4880100335796564,0.11471668932089521,0.5082811058525579,342.69263177605103,5.538721191105768e-66,
Cluster 9993,0.0019645075839528087,0.8272379244841999,0.3630724297975484,0.9335107381908628,342.69263177605086,5.538721191106083e-66,
