,MI,chi2,chi2_pval,corrected_pval,f_statistic,f_pval,f_corrected_pval
Cluster 38542,0.010606179807463777,2.8354562922622395,0.2422637800758303,1.0,0.05660377358490563,0.8121311980654738,
Cluster 38546,0.02013879192907514,4.340412076861194,0.037217914575712864,0.664405889348872,24.687022900763363,1.21349223935264e-06,
Cluster 38549,0.0,0.0,1.0,1.0,187.20000000000007,1.427196542581219e-32,
Cluster 38550,0.0017217774130156294,0.15312436621758663,0.6955673052635036,1.0,34.85148514851486,1.0898098162327087e-08,
Cluster 38552,0.00667965111862498,0.031061047538320282,0.8601042606004268,1.0,87.04477611940295,4.4934927014583094e-18,
Cluster 38553,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38554,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38555,0.004032400549155941,0.0,1.0,1.0,87.04477611940295,4.4934927014583094e-18,
Cluster 38556,0.00023182466656296308,0.0,1.0,1.0,81.45606326889279,3.829897619745272e-17,
Cluster 38557,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38559,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38560,0.00031332102286498603,0.0,1.0,1.0,76.26666666666664,2.8943154922864206e-16,
Cluster 38565,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38569,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38574,0.01664405804733565,4.396459348732076,0.11099948976789056,1.0,4.902469135802473,0.027672934405346534,
Cluster 38577,0.003018642537815891,0.44157691544055166,0.5063623258324161,1.0,61.490196078431374,1.1029545944605649e-13,
Cluster 38588,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38593,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38603,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38605,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38606,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38607,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38610,0.013441586049765974,0.9478489385932134,0.3302674365054192,1.0,81.45606326889279,3.829897619745272e-17,
Cluster 38613,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38617,0.019286078686345944,4.648759787221325,0.09784409899409284,1.0,23.58312655086849,2.0515453455321893e-06,
Cluster 38618,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38619,0.021704935173933015,5.757229749417251,0.1240377948144764,1.0,116.38557320738514,1.0148607248977785e-22,
Cluster 38622,0.013337209169464154,2.4626167543324815,0.4820849711827132,1.0,0.04833394361039923,0.8261580170864198,
Cluster 38624,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38633,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38649,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38662,0.0,0.0,1.0,1.0,93.07692307692312,4.627379879147928e-19,
Cluster 38667,0.00810548942943859,0.2239090108364918,0.6360774545799908,1.0,81.45606326889279,3.829897619745272e-17,
Cluster 38681,0.0061489964256464524,0.7469954695348395,0.3874291532753644,1.0,62.73396674584322,6.614928868718735e-14,
Cluster 38684,0.025411966765894092,5.047488250232153,0.02466166347118436,0.5320102085027918,48.423913043478244,2.7074186219820006e-11,
Cluster 38686,0.020577526269373467,2.1058454436188807,0.14673722129501066,1.0,66.93711967545639,1.1936100836245659e-14,
Cluster 38687,0.009078337099503023,1.5556667066167809,0.21230082737689274,1.0,45.37500000000001,1.0143756758587745e-10,
Cluster 38689,0.0007177383592172903,0.0002542842109771208,0.9872772394525696,1.0,62.73396674584322,6.614928868718735e-14,
Cluster 38705,0.0006410805209042664,0.0,1.0,1.0,62.73396674584322,6.614928868718735e-14,
Cluster 38709,0.016377160196676774,1.41566797220867,0.23411775168088245,1.0,71.43820224719104,1.957017014255317e-15,
Cluster 38714,0.0,0.0,1.0,1.0,187.20000000000007,1.427196542581219e-32,
Cluster 38715,0.0,0.0,1.0,1.0,187.20000000000007,1.427196542581219e-32,
Cluster 38717,0.0,0.0,1.0,1.0,187.20000000000007,1.427196542581219e-32,
Cluster 38718,0.009770328400000777,1.936190538710302,0.16408275710869447,1.0,19.819354838709685,1.256991538543839e-05,
Cluster 38719,0.0,0.0,1.0,1.0,187.20000000000007,1.427196542581219e-32,
Cluster 38721,0.0,0.0,1.0,1.0,187.20000000000007,1.427196542581219e-32,
Cluster 38722,0.0,0.0,1.0,1.0,187.20000000000007,1.427196542581219e-32,
Cluster 38732,0.01755530019791718,3.746700456801263,0.05291186322434838,0.8543296991955309,3.707865168539326,0.05523063692127188,
Cluster 38733,0.00810548942943859,0.2239090108364918,0.6360774545799908,1.0,81.45606326889279,3.829897619745272e-17,
